code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-04-22,15:04:04,HOSE,STOCK,64.7,69.2,60.2,62.0,67.0,60.2,60.5,62.86,50.821,54.92,49.346,49.592,51.526,8698700.0,546819150000.0,0.0,0.0,-4.2,-3.4428,-6.4915
DIG,2022-04-21,15:04:02,HOSE,STOCK,69.5,74.3,64.7,64.7,69.0,64.7,64.7,65.23,53.035,56.559,53.035,53.035,53.469,10454900.0,681990790000.0,0.0,0.0,-4.8,-3.9346,-6.9065
DIG,2022-04-20,15:04:02,HOSE,STOCK,72.2,77.2,67.2,71.0,73.3,69.5,69.5,71.38,58.199,60.084,56.969,56.969,58.51,4799400.0,342565110000.0,33000.0,2217600000.0,-2.7,-2.2132,-3.7396
DIG,2022-04-19,15:04:03,HOSE,STOCK,73.2,78.3,68.1,74.4,75.5,72.0,72.2,73.89,60.986,61.887,59.018,59.182,60.568,6611100.0,488470600000.0,22800.0,1785240000.0,-1.0,-0.8197,-1.3661
DIG,2022-04-18,15:04:03,HOSE,STOCK,69.3,74.1,64.5,67.2,73.2,65.2,73.2,68.01,55.084,60.002,53.444,60.002,55.748,10012700.0,680993460000.0,40000.0,2964000000.0,3.9,3.1968,5.6277
DIG,2022-04-15,15:04:02,HOSE,STOCK,74.5,79.7,69.3,72.6,73.9,69.3,69.3,70.41,59.51,60.576,56.805,56.805,57.715,9914000.0,698010740000.0,0.0,0.0,-5.2,-4.2624,-6.9799
DIG,2022-04-14,15:04:02,HOSE,STOCK,79.5,85.0,74.0,80.5,81.0,74.2,74.5,77.15,65.986,66.396,60.822,61.068,63.24,6108300.0,471253050000.0,20000.0,1480000000.0,-5.0,-4.0985,-6.2893
DIG,2022-04-13,15:04:02,HOSE,STOCK,77.8,83.2,72.4,79.0,79.5,72.6,79.5,75.22,64.756,65.166,59.51,65.166,61.658,9730800.0,731949630000.0,150000.0,10860000000.0,1.7,1.3935,2.1851
DIG,2022-04-12,15:04:02,HOSE,STOCK,83.6,89.4,77.8,84.9,85.9,77.8,77.8,81.31,69.593,70.412,63.773,63.773,66.65,6089800.0,495149390000.0,115500.0,9748200000.0,-5.8,-4.7543,-6.9378
DIG,2022-04-08,15:04:02,HOSE,STOCK,83.0,88.8,77.2,83.1,85.0,82.0,83.6,83.55,68.117,69.675,67.215,68.527,68.486,4901100.0,409498110000.0,0.0,0.0,0.6,0.4918,0.7229
DIG,2022-04-07,15:04:01,HOSE,STOCK,87.0,93.0,81.0,85.5,87.0,81.2,83.0,83.55,70.084,71.314,66.56,68.035,68.486,8675400.0,724837640000.0,0.0,0.0,-4.0,-3.2788,-4.5977
DIG,2022-04-06,15:04:02,HOSE,STOCK,93.5,100.0,87.0,92.0,93.0,87.0,87.0,89.57,75.412,76.232,71.314,71.314,73.421,13156200.0,1178414520000.0,0.0,0.0,-6.5,-5.3281,-6.9519
DIG,2022-04-05,15:04:02,HOSE,STOCK,95.0,101.6,88.4,92.1,97.0,92.1,93.5,93.68,75.494,79.511,75.494,76.642,76.789,6003300.0,562363560000.0,0.0,0.0,-1.5,-1.2296,-1.5789
DIG,2022-04-04,15:04:02,HOSE,STOCK,97.4,104.2,90.6,99.9,100.0,95.0,95.0,97.0,81.888,81.97,77.872,77.872,79.511,4270500.0,414229240000.0,0.0,0.0,-2.4,-1.9673,-2.4641
DIG,2022-04-01,15:04:01,HOSE,STOCK,92.5,98.9,86.1,92.5,97.7,91.0,97.4,94.11,75.822,80.085,74.593,79.839,77.142,4855800.0,456972290000.0,0.0,0.0,4.9,4.0165,5.2973
DIG,2022-03-31,15:03:04,HOSE,STOCK,95.0,101.6,88.4,95.4,97.2,91.0,92.5,94.47,78.199,79.675,74.593,75.822,77.437,4177200.0,394608750000.0,0.0,0.0,-2.5,-2.0492,-2.6316
DIG,2022-03-30,15:03:02,HOSE,STOCK,101.5,108.6,94.4,101.0,103.0,94.4,95.0,97.16,82.79,84.429,77.38,77.872,79.642,8157400.0,792603340000.0,0.0,0.0,-6.5,-5.3281,-6.4039
DIG,2022-03-29,15:03:03,HOSE,STOCK,94.9,101.5,88.3,97.0,101.5,96.5,101.5,99.61,79.511,83.2,79.101,83.2,81.65,4454900.0,443762200000.0,0.0,0.0,6.6,5.41,6.9547
DIG,2022-03-28,15:03:04,HOSE,STOCK,102.0,109.1,94.9,98.3,99.9,94.9,94.9,96.27,80.577,81.888,77.79,77.79,78.913,15773100.0,1518418000000.0,0.0,0.0,-7.1,-5.8199,-6.9608
DIG,2022-03-25,15:03:03,HOSE,STOCK,105.2,112.5,97.9,105.2,106.5,102.0,102.0,103.66,86.232,87.298,83.609,83.609,84.97,5003100.0,518606340000.0,0.0,0.0,-3.2,-2.623,-3.0418
DIG,2022-03-24,15:03:03,HOSE,STOCK,106.2,113.6,98.8,108.0,109.2,104.6,105.2,107.21,88.528,89.511,85.741,86.232,87.88,3746100.0,401620660000.0,0.0,0.0,-1.0,-0.8197,-0.9416
DIG,2022-03-23,15:03:02,HOSE,STOCK,102.5,109.6,95.4,102.5,107.0,101.0,106.2,104.52,84.019,87.708,82.79,87.052,85.675,4624200.0,483333200000.0,179000.0,17076600000.0,3.7,3.0329,3.6098
DIG,2022-03-22,15:03:03,HOSE,STOCK,101.6,108.7,94.5,105.0,108.1,101.6,102.5,105.45,86.069,88.61,83.282,84.019,86.437,5213100.0,549723460000.0,0.0,0.0,0.9,0.7377,0.8858
DIG,2022-03-21,15:03:02,HOSE,STOCK,95.0,101.6,88.4,96.0,101.6,95.9,101.6,98.95,78.691,83.282,78.609,83.282,81.109,5941800.0,587914140000.0,0.0,0.0,6.6,5.4101,6.9474
DIG,2022-03-18,15:03:02,HOSE,STOCK,91.6,98.0,85.2,92.0,97.3,91.5,95.0,94.88,75.412,79.757,75.003,77.872,77.773,8715500.0,826891560000.0,0.0,0.0,3.4,2.787,3.7118
DIG,2022-03-17,15:03:02,HOSE,STOCK,90.4,96.7,84.1,91.0,92.5,90.9,91.6,91.67,74.593,75.822,74.511,75.085,75.142,2982400.0,273408490000.0,0.0,0.0,1.2,0.9836,1.3274
DIG,2022-03-16,15:03:04,HOSE,STOCK,91.3,97.6,85.0,92.8,92.8,90.4,90.4,91.94,76.068,76.068,74.101,74.101,75.363,2939600.0,270281470000.0,0.0,0.0,-0.9,-0.7377,-0.9858
DIG,2022-03-15,15:03:03,HOSE,STOCK,89.5,95.7,83.3,92.0,92.2,90.0,91.3,91.4,75.412,75.576,73.773,74.839,74.921,3092200.0,282616290000.0,0.0,0.0,1.8,1.4755,2.0112
DIG,2022-03-14,15:03:04,HOSE,STOCK,88.0,94.1,81.9,86.0,92.0,85.0,89.5,88.35,70.494,75.412,69.675,73.363,72.42,5620700.0,496605140000.0,90000.0,7380000000.0,1.5,1.2295,1.7045
